Time,Type,Presenting author,Other authors,Title
09:00,Reception,,,
09:30,Inaugural speech,"Joo, Ian",,Doing linguistics in Hokkaido
10:00,Invited talk,"Van Hoey, Thomas",,Accommodating path and manner in the lexical aspect of iconic words
11:00,Tea break,,,
11:30,Invited talk,"Rojas Berscia, Luis Miguel",,"Languoid in layers: a brief appetiser to the Dynamic approach from Shawi, Kukatja and Wolof"
12:30,Lunch,,,
13:30,Iconicity,"Rahman, Syed Shahrier","Banerjee, Mithun",When form mirrors event order: Iconicity in Bangla word-order alternations
14:00,Iconicity,"Park, Jiyeon",,A multi-level semantic analysis of Korean ideophones: A Semantic Grid account and typological implications
14:30,Iconicity,"Iida, Hinano",,"Cross-Linguistic Variation in Vowel Sound Symbolism: A Dictionary-Based Analysis of Imitative Vocabulary in Japanese, English, and Korean"
15:00,Tea break,,,
15:30,Phonology,"Liu, Chin-Ting",,Phonological similarity as a necessary condition for the categorical perception of lexical tones in Taiwan Mandarin
16:00,Phonology,"Banerjee, Mithun",,Phonological and Grammatical Criteria in Mru Word Structure
16:30,Syntax,"Basile, Rodolfo","Kittilä, Seppo",Types of causative constructions in Finnish and their uses
17:00,Tea break,,,
17:30,Lexico-semantics,"Sineva, Yekaterina",,Semantic field of prohibitives in Russian and Japanese
18:00,Lexico-semantics,ハラファッラー　ナディア,,日本語とアラビア語における自然に関連する語彙の慣用句
18:30,Lexico-semantics,スミルノフ　ミハイル,,日本語のフィクション作品における固有名詞の意味分析の構造
19:00,Dinner,,,
